track_name,track_artist,track_popularity,track_album_name,track_album_release_date,playlist_name,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,mode_string
Stepping Stone,Duffy,50,Rockferry,2008,NEO FUNK AND SOUL,r&b,neo soul,0.694,0.523,D,-6.407,0.0254,0.875,0.000172,0.352,0.472,97.985,209453,Minor
Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),Megan Thee Stallion,79,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),2019,Hip Hop Controller,rap,hip hop,0.872,0.814,C,-4.568,0.155,0.00485,1.96e-06,0.214,0.57,98.985,199427,Major
Move Over,Janis Joplin,51,Pearl (Legacy Edition),1971,Classic Rock Legends,rock,classic rock,0.708,0.498,C,-10.337,0.0529,0.187,0.0115,0.0724,0.919,132.999,223827,Major
Jump - 2015 Remaster,Van Halen,78,1984 (Remastered),1984,House Of The Rising Sun,rock,album rock,0.572,0.835,C,-6.219,0.0317,0.171,0.000376,0.0702,0.796,129.994,241600,Major
Bizarre Love Triangle,New Order,67,Brotherhood [Collector's Edition],1986,"Maxi Pop  GOLD (New Wave, Electropop, Synth Pop...)",pop,electropop,0.613,0.885,A#/Bb,-7.463,0.052,0.0804,0.746,0.0997,0.919,118.506,263213,Major
I Get Joy,Coko,7,Gospelflava.com Presents Something On The Inside,2010,Gospel,r&b,urban contemporary,0.659,0.824,F#/Gb,-5.206,0.372,0.0627,0.0,0.176,0.702,95.603,252360,Minor
Break The House,Borgeous,38,Break The House,2014,BIG-ROOM NEVER DIES !,edm,big room,0.714,0.984,F,-4.124,0.193,0.00276,0.00783,0.0917,0.409,128.004,293541,Minor
Nomite - Passenger 10 Remix Edit,Horisone,20,Raw,2019,Pop Dance Hits,pop,dance pop,0.693,0.805,G#/Ab,-7.335,0.0507,0.00799,0.854,0.0669,0.0461,123.991,222581,Minor
My head is a Jungle - MK Remix [Radio Edit],Wankelmut,28,My Head Is A Jungle (MK Remixes),2014,BALLARE - رقص,pop,post-teen pop,0.683,0.789,G,-6.672,0.0355,0.0864,0.00419,0.253,0.456,124.023,207253,Minor
Accelerator,Ephwurd,14,Accelerator,2018,Nasty Bits,edm,electro house,0.824,0.943,C#/Db,-2.294,0.0926,0.000224,0.57,0.104,0.421,126.055,192381,Major
Cha La Head Chala,Super3,48,3XL Manga i Anime,2002,City Pop 1985 シティーポップ,rock,album rock,0.518,0.942,D,-5.27,0.0755,0.155,1.15e-06,0.528,0.535,154.628,197240,Major
Adderall,Max Frost,61,Adderall,2016,The Sound of Indie Poptimism,pop,indie poptimism,0.681,0.891,F#/Gb,-4.28,0.0408,0.000672,1.07e-06,0.0631,0.556,100.008,218025,Major
Lips Of An Angel,Hinder,71,Extreme Behavior,2005,Permanent Wave,rock,permanent wave,0.476,0.736,D,-5.38,0.0343,0.0217,1.08e-06,0.203,0.251,129.084,261853,Major
La Ciudad De Neon - Live,Miguel Rios,0,Rock & Rios (Remastered),2005,Rock and Rios,rock,album rock,0.557,0.966,F#/Gb,-8.704,0.0639,0.0121,3.95e-06,0.435,0.613,132.038,235093,Major
Aogashima Island!,Macross 82-99,30,SAILORWAVE II,2018,Japanese Funk/Soul/NEO/Jazz/Acid,r&b,neo soul,0.646,0.667,C#/Db,-11.705,0.0402,0.00141,0.322,0.0626,0.708,120.028,180928,Major
Would I Lie to You - Radio Edit,David Guetta,64,Would I Lie To You,2016,Electropop - Pop,pop,electropop,0.671,0.826,G,-5.766,0.309,0.00718,0.0,0.631,0.774,123.986,197648,Minor
Me Time,Brooke,37,Me Time,2019,The Pulse of Indie Poptimism,pop,indie poptimism,0.696,0.396,B,-9.165,0.0556,0.446,0.0,0.128,0.422,91.978,168424,Minor
Ese Amor (feat. Jimmy Dub),Andeeno Damassy,0,Ese Amor (feat. Jimmy Dub),2015,latin hip hop,latin,latin hip hop,0.748,0.801,F#/Gb,-4.425,0.0526,0.325,0.0,0.138,0.907,99.992,202800,Minor
sweetener,Ariana Grande,40,Sweetener,2018,Post Teen Pop,pop,post-teen pop,0.722,0.461,E,-6.428,0.0319,0.256,0.0,0.214,0.464,119.91,208493,Major
Rhythm Is A Dancer,SNAP!,57,The Madman's Return,1992,90s Dance Hits,pop,dance pop,0.757,0.652,A,-14.916,0.0333,0.214,0.257,0.0903,0.862,124.369,332230,Minor
The Hum - Short Edit,Dimitri Vegas & Like Mike,45,The Hum,2015,Big Room House | Festival Bangers,edm,big room,0.729,0.947,B,-3.103,0.0458,0.211,0.822,0.367,0.209,130.005,211000,Minor
All Of The Lights,Kanye West,7,My Beautiful Dark Twisted Fantasy,2010,Gangsta Rap/90's Hip-Hop,rap,gangster rap,0.546,0.796,C#/Db,-3.263,0.0639,0.0909,2.73e-05,0.19,0.254,142.123,299613,Major
Dare Me,NERVO,60,Dare Me,2020,Big Room House / Bigroom,edm,big room,0.817,0.776,F#/Gb,-4.976,0.303,0.0453,0.0,0.158,0.718,124.03,182500,Major
Lentamente,J Alvarez,15,De Camino Pa' la Cima Reloaded 2.0,2015,REGGAETON VIEJO,latin,reggaeton,0.638,0.731,D,-6.211,0.0596,0.224,0.0,0.155,0.456,172.11,227120,Minor
Ersatzteil,Feindflug,0,A Compilation 3,2008,Gothic / Industrial / Mittelalter / EBM / Futurepop / Gothik / Electropop,pop,electropop,0.601,0.957,G,-5.598,0.0409,0.000244,0.904,0.106,0.332,135.008,310333,Major
Él Era Perfecto - En Vivo,María José,65,Conexión (En Vivo),2019,Exitos 2020 - Latin Billboard,latin,latin pop,0.46,0.787,G#/Ab,-4.816,0.0486,0.0106,0.0,0.957,0.393,163.865,226800,Major
Lost In Stereo,All Time Low,0,Nothing Personal,2009,Pop Punk | Post-Hardcore,pop,post-teen pop,0.456,0.964,A#/Bb,-3.77,0.0583,0.00221,0.0,0.241,0.688,150.007,227467,Major
Promised Land,Skeletal Family,38,Best Of...,1983,permanent wave,rock,permanent wave,0.243,0.808,A,-11.592,0.0592,1.31e-05,0.0706,0.0981,0.225,169.361,291573,Major
Cubierto de Ti,Rauw Alejandro,53,Cubierto de Ti,2019,Trap Luv,rap,trap,0.816,0.613,E,-3.943,0.0648,0.302,0.0,0.681,0.514,146.003,269589,Minor
Party Raiser,Lyre Le Temps,36,Party Raiser,2016,Electro Swing,edm,electro house,0.497,0.915,C,-3.189,0.367,0.285,0.0,0.189,0.739,204.475,168507,Minor
Fallen (feat. Desiree Dawson) (WILLIAM BLACK Remix),ARMNHMR,48,Fallen (feat. Desiree Dawson) (WILLIAM BLACK Remix),2016,Pop EDM,edm,pop edm,0.578,0.678,C,-8.206,0.0666,0.143,1.3e-06,0.143,0.237,145.021,232923,Minor
Baila Morena - Original Reggaeton Mix,Hector & Tito,31,Baila Morena (Reggaeton Mix),2005,Reggaeton De Ayer,latin,reggaeton,0.783,0.824,C,-4.973,0.123,0.214,0.0,0.102,0.726,93.998,187080,Major
Never Forget - Nicky Romero Edit,Trilane,45,Never Forget (Nicky Romero Edit),2019,Electro House Top Tracks,edm,electro house,0.511,0.716,D,-4.028,0.0572,0.059,0.0,0.214,0.226,124.947,188160,Major
Dancing With A Stranger (with Normani),Sam Smith,87,Dancing With A Stranger (with Normani),2019,Dance Pop Tunes,pop,dance pop,0.741,0.52,G#/Ab,-7.513,0.0656,0.45,1.97e-06,0.222,0.347,102.998,171030,Major
Valió la Pena - Salsa Version,Marc Anthony,65,Sigo Siendo Yo,2006,Latin/Hip Hop/Dancehall/Soca,latin,latin hip hop,0.525,0.704,A,-5.801,0.0501,0.353,5.26e-06,0.0743,0.855,98.455,289293,Minor
Colours - Pantac Remix,Loreno Mayer,17,Colours (Pantac Remix),2019,Sick Big Room House Drops | EZUMI,edm,big room,0.535,0.901,D#/Eb,-5.563,0.0801,0.0357,0.000261,0.359,0.12,134.978,185469,Minor
Georgia - 2003 Digital Remaster,Orchestral Manoeuvres In The Dark,32,Architecture And Morality,1981,Electropop And Play,pop,electropop,0.604,0.808,A,-6.369,0.0385,0.0538,0.45,0.0649,0.448,150.831,204440,Minor
Tungba,Ajebutter22,54,Make E No Cause Fight,2018,Neo-Soul,r&b,neo soul,0.749,0.346,D,-5.85,0.458,0.454,0.0249,0.086,0.801,203.776,188421,Minor
Hurricane,Halsey,63,BADLANDS (Deluxe),2015,A Loose Definition of Indie Poptimism,pop,indie poptimism,0.586,0.83,C,-5.375,0.0416,0.00823,0.0028,0.348,0.486,120.017,223082,Major
14 de Febrero,Omi Hernandez,19,Removiendo el Piso,2016,Cuban vibes only,r&b,urban contemporary,0.73,0.695,C,-6.837,0.0347,0.76,0.0,0.328,0.815,140.016,200267,Minor
Superstar - Dwin Remix,Linas Music,42,Superstar (Dwin Remix),2017,🔊BASSBOOSTED🔊⚡ELECTRO HOUSE⚡🔥EDM CAR MUSIC2018/2019🔥,edm,electro house,0.768,0.81,A,-7.104,0.0521,0.17,0.00358,0.0966,0.563,122.997,195043,Major
二度目のイヴ,オメガトライブ,17,First Finale,1985,City Pop 1985 シティーポップ,rock,album rock,0.641,0.531,C#/Db,-6.758,0.0271,0.438,1.12e-05,0.0947,0.785,77.859,295200,Minor
Darkside,Alan Walker,76,Different World,2018,Dance Pop Hits,pop,dance pop,0.43,0.606,E,-5.115,0.0431,0.131,0.0,0.173,0.123,169.988,211680,Minor
Playgirl,LODU GOSH,14,Playgirl,2020,Trap Argentino - Trap Argentina,rap,trap,0.731,0.391,D,-16.035,0.271,0.68,0.0625,0.1,0.27,154.93,173455,Major
Break up,Taichi Mukai,40,PURE,2018,Best of 2019 Dance Pop: Japan,pop,dance pop,0.702,0.758,G#/Ab,-6.205,0.103,0.198,0.0,0.343,0.575,129.975,276053,Minor
Ауфф,Nurminsky,47,Ауфф,2018,RUSSIAN Gangster Rap,rap,gangster rap,0.759,0.656,F#/Gb,-5.918,0.146,0.348,0.0,0.151,0.587,140.108,182571,Major
I Feel So Bad,Kungs,64,Layers,2016,Mix ElectroPop//ElectroHouse// DeepHouse 2020,pop,electropop,0.762,0.821,A,-4.17,0.0389,0.205,0.000419,0.259,0.769,122.999,206960,Minor
Afternoon,TENDER,43,Afternoon,2016,Music&Other Drugs,pop,indie poptimism,0.64,0.498,D#/Eb,-8.678,0.0322,0.0502,0.105,0.227,0.27,128.068,188073,Minor
All I Ever Need,Austin Mahone,71,The Secret,2014,The Sound of Post-Teen Pop,pop,post-teen pop,0.708,0.647,B,-6.128,0.0298,0.117,0.0,0.111,0.654,129.95,213747,Major
We Can Only Live Today (Puppy) - Original,Netsky,10,De Maxx - Long Player 25,2012,BALLARE - رقص,pop,post-teen pop,0.671,0.8,C,-2.769,0.0882,0.0843,0.0,0.15,0.809,127.961,204308,Major
Tradición,Gloria Estefan,32,Mi Tierra,1993,Cuban vibes only,r&b,urban contemporary,0.571,0.698,C,-6.786,0.109,0.0839,0.00319,0.127,0.909,132.215,320027,Major
I Love It (& Lil Pump),Kanye West,79,I Love It,2018,Great Pops,latin,latin pop,0.901,0.522,D,-8.304,0.33,0.0114,0.0,0.259,0.329,104.053,127947,Major
We Could Be Beautiful,Wrabel,50,We Could Be Beautiful,2017,Happy EDM,edm,pop edm,0.695,0.643,F,-5.081,0.0321,0.0325,0.000823,0.104,0.376,107.005,200760,Minor
The People,KSHMR,48,The People,2019,Epic Bass Drops | Best House Mixes,edm,progressive electro house,0.591,0.985,B,-3.38,0.0794,0.000552,0.16,0.404,0.129,135.024,158222,Major
La Rosa De Los Vientos,Makiza,54,Aerolineas Makiza,1999,HIP-HOP: Latin Rap ['89-present],latin,latin hip hop,0.657,0.578,D#/Eb,-6.682,0.13,0.236,0.00746,0.212,0.819,89.948,309453,Minor
Humph!,PENTAGON,63,SUM(ME:R),2019,K-Party Dance Mix,pop,dance pop,0.791,0.674,D,-4.025,0.0516,0.168,0.0,0.0801,0.963,132.985,192613,Major
Your Love Is My Drug,Kesha,0,Animal,2010,🤩🤪Post Teen Pop🤪🤩,pop,post-teen pop,0.825,0.612,A#/Bb,-3.893,0.0969,0.00677,0.0,0.0993,0.756,120.058,187133,Minor
Runaway Life - Henri Purnell Remix,Lu & Sowlmate,35,Runaway Life (Remixes),2018,Tropical House Remixes 🍍 Tropical Remixes & Tropical Covers,latin,tropical,0.739,0.646,B,-5.97,0.0433,0.355,7.13e-05,0.15,0.615,117.873,207285,Major
Punch Drunk,Sade,33,Promise,1985,80s-90s R&B / New Jack Swing / Funk / Dance / Soul,r&b,new jack swing,0.516,0.343,C,-11.852,0.0394,0.168,0.696,0.0905,0.376,177.108,324986,Major
Burning Flame,Vitamin Z,22,Rites of Passage,1985,Permanent Wave CHDB,rock,permanent wave,0.751,0.762,A,-6.765,0.029,0.492,0.0,0.327,0.778,109.672,228000,Minor
La Última Cena,Charles Ans,51,El Desierto También Da Flores,2019,Arena Hip-Hop,rap,hip hop,0.721,0.669,A#/Bb,-11.507,0.182,0.175,0.0,0.0996,0.812,89.121,269663,Minor
