track_name,track_artist,track_popularity,track_album_name,track_album_release_date,playlist_name,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,mode_string
I Don't Care (with Justin Bieber) - Loud Luxury Remix,Ed Sheeran,66,I Don't Care (with Justin Bieber) [Loud Luxury Remix],2019,Pop Remix,pop,dance pop,0.748,0.916,F#/Gb,-2.634,0.0583,0.102,0.0,0.0653,0.518,122.036,194754,Major
Memories - Dillon Francis Remix,Maroon 5,67,Memories (Dillon Francis Remix),2019,Pop Remix,pop,dance pop,0.726,0.815,B,-4.969,0.0373,0.0724,0.00421,0.357,0.693,99.972,162600,Major
All the Time - Don Diablo Remix,Zara Larsson,70,All the Time (Don Diablo Remix),2019,Pop Remix,pop,dance pop,0.675,0.931,C#/Db,-3.432,0.0742,0.0794,2.33e-05,0.11,0.613,124.008,176616,Minor
Call You Mine - Keanu Silva Remix,The Chainsmokers,60,Call You Mine - The Remixes,2019,Pop Remix,pop,dance pop,0.718,0.93,G,-3.778,0.102,0.0287,9.43e-06,0.204,0.277,121.956,169093,Major
Someone You Loved - Future Humans Remix,Lewis Capaldi,69,Someone You Loved (Future Humans Remix),2019,Pop Remix,pop,dance pop,0.65,0.833,C#/Db,-4.672,0.0359,0.0803,0.0,0.0833,0.725,123.976,189052,Major
Beautiful People (feat. Khalid) - Jack Wins Remix,Ed Sheeran,67,Beautiful People (feat. Khalid) [Jack Wins Remix],2019,Pop Remix,pop,dance pop,0.675,0.919,G#/Ab,-5.385,0.127,0.0799,0.0,0.143,0.585,124.982,163049,Major
Never Really Over - R3HAB Remix,Katy Perry,62,Never Really Over (R3HAB Remix),2019,Pop Remix,pop,dance pop,0.449,0.856,F,-4.788,0.0623,0.187,0.0,0.176,0.152,112.648,187675,Minor
Post Malone (feat. RANI) - GATTÜSO Remix,Sam Feldt,69,Post Malone (feat. RANI) [GATTÜSO Remix],2019,Pop Remix,pop,dance pop,0.542,0.903,E,-2.419,0.0434,0.0335,4.83e-06,0.111,0.367,127.936,207619,Minor
Tough Love - Tiësto Remix / Radio Edit,Avicii,68,Tough Love (Tiësto Remix),2019,Pop Remix,pop,dance pop,0.594,0.935,G#/Ab,-3.562,0.0565,0.0249,3.97e-06,0.637,0.366,127.015,193187,Major
If I Can't Have You - Gryffin Remix,Shawn Mendes,67,If I Can't Have You (Gryffin Remix),2019,Pop Remix,pop,dance pop,0.642,0.818,D,-4.552,0.032,0.0567,0.0,0.0919,0.59,124.957,253040,Major
Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,Ed Sheeran,58,Cross Me (feat. Chance the Rapper & PnB Rock) [M-22 Remix],2019,Pop Remix,pop,dance pop,0.679,0.923,F#/Gb,-6.5,0.181,0.146,4.92e-06,0.124,0.752,121.984,207894,Major
Hate Me - R3HAB Remix,Ellie Goulding,67,Hate Me (R3HAB Remix),2019,Pop Remix,pop,dance pop,0.437,0.774,G#/Ab,-4.918,0.0554,0.148,0.0,0.133,0.329,123.125,203733,Major
Body On My,Loud Luxury,67,Body On My,2019,Pop Remix,pop,dance pop,0.744,0.726,C#/Db,-4.675,0.0463,0.0399,0.0,0.374,0.687,121.985,192507,Major
SOS - Laidback Luke Tribute Remix / Radio Edit,Avicii,68,SOS (Laidback Luke Tribute Remix),2019,Pop Remix,pop,dance pop,0.572,0.915,F,-4.451,0.0625,0.0111,0.0,0.339,0.678,123.919,164516,Minor
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,Martin Garrix,63,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) [Remixes],2019,Pop Remix,pop,dance pop,0.69,0.78,F,-4.446,0.0594,0.00733,0.00183,0.0729,0.238,126.07,255238,Minor
South of the Border (feat. Camila Cabello & Cardi B) - Andy Jarvis Remix,Ed Sheeran,66,South of the Border (feat. Camila Cabello & Cardi B) [Andy Jarvis Remix],2019,Pop Remix,pop,dance pop,0.805,0.835,C,-4.603,0.0896,0.13,5.03e-06,0.365,0.722,125.028,188230,Major
All My Friends - Eden Prince Remix,AJ Mitchell,60,All My Friends (Eden Prince Remix),2019,Pop Remix,pop,dance pop,0.694,0.901,C#/Db,-4.322,0.0948,0.0702,0.0,0.427,0.368,118.051,173548,Minor
Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix,David Guetta,65,Say My Name (feat. Bebe Rexha & J Balvin) [Lucas & Steve Remix],2018,Pop Remix,pop,dance pop,0.678,0.747,A#/Bb,-5.289,0.165,0.0395,0.0,0.174,0.516,120.002,189375,Minor
Dancing With A Stranger (With Normani) - Cheat Codes Remix,Sam Smith,69,Dancing With A Stranger (With Normani) [Cheat Codes Remix],2019,Pop Remix,pop,dance pop,0.746,0.557,C#/Db,-6.722,0.0542,0.103,0.0036,0.138,0.324,111.961,159404,Major
Let It Be Me - Sondr Remix,Steve Aoki,35,Let It Be Me (Remixes),2019,Pop Remix,pop,dance pop,0.467,0.821,G,-5.466,0.0934,0.00791,0.000441,0.131,0.232,122.676,185366,Major
Heaven - David Guetta & MORTEN Remix,Avicii,70,Heaven (David Guetta & MORTEN Remix),2019,Pop Remix,pop,dance pop,0.572,0.934,F#/Gb,-5.053,0.0446,0.00292,0.0198,0.105,0.204,125.948,215238,Minor
All Around The World (La La La) - Marnik Remix,R3HAB,64,All Around The World (La La La) [Marnik Remix],2019,Pop Remix,pop,dance pop,0.708,0.913,A,-4.329,0.0348,0.089,0.081,0.113,0.707,135.016,170667,Minor
Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix,David Guetta,62,Don't Leave Me Alone (feat. Anne-Marie) [EDX's Indian Summer Remix],2019,Pop Remix,pop,dance pop,0.684,0.818,E,-4.477,0.128,0.0469,3.39e-06,0.119,0.336,123.938,210968,Minor
Slow Dance (feat. Ava Max) - Sam Feldt Remix,AJ Mitchell,70,Slow Dance (feat. Ava Max) [Sam Feldt Remix],2019,Pop Remix,pop,dance pop,0.732,0.85,C#/Db,-5.999,0.0444,0.114,2.02e-06,0.0388,0.372,124.024,193548,Major
Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,The Chainsmokers,58,Do You Mean - The Remixes (feat. Ty Dolla $ign & bülow),2019,Pop Remix,pop,dance pop,0.62,0.889,B,-3.785,0.0352,0.0163,1.86e-05,0.395,0.422,110.018,205093,Major
Hold Me While You Wait - Steve Void Remix,Lewis Capaldi,63,Hold Me While You Wait (Steve Void Remix),2019,Pop Remix,pop,dance pop,0.675,0.76,B,-7.037,0.0434,0.104,0.0,0.33,0.468,124.933,172800,Major
One Thing Right - Firebeatz Remix,Marshmello,66,One Thing Right (Remixes),2019,Pop Remix,pop,dance pop,0.682,0.851,C#/Db,-7.117,0.0363,0.0146,0.000834,0.0289,0.348,126.0,192381,Minor
Close To Me (with Diplo) (feat. Swae Lee) - CID Remix,Ellie Goulding,8,Close To Me (Remixes),2019,Pop Remix,pop,dance pop,0.663,0.905,C#/Db,-3.781,0.0511,0.0325,0.0,0.333,0.397,125.996,175000,Minor
